fight_id,date,weight_class,finish_method,round_ended,time_ended,title_bout
7689,1999-07-16,Heavyweight,Decision - Unanimous,2,300,0
7682,1999-07-16,Heavyweight,KO/TKO,1,300,0
7682,1999-07-16,Heavyweight,KO/TKO,1,300,0
7686,1999-07-16,Heavyweight,KO/TKO,2,300,0
7686,1999-07-16,Heavyweight,KO/TKO,2,300,0
7688,1999-07-16,Heavyweight,KO/TKO,1,171,0
7688,1999-07-16,Heavyweight,KO/TKO,1,171,0
7689,1999-07-16,Light Heavyweight,Decision - Unanimous,2,300,0
7687,1999-07-16,Light Heavyweight,KO/TKO,2,79,0
7685,1999-07-16,Light Heavyweight,Submission,1,260,0
7683,1999-07-16,Lightweight,TKO - Doctor's Stoppage,2,94,1
7684,1999-07-16,Middleweight,KO/TKO,1,281,0
7687,1999-07-16,Middleweight,KO/TKO,2,79,0
7685,1999-07-16,Middleweight,Submission,1,260,0
7684,1999-07-16,Welterweight,KO/TKO,1,281,0
7683,1999-07-16,Welterweight,TKO - Doctor's Stoppage,2,94,1
7679,1999-09-24,Heavyweight,KO/TKO,1,30,0
7679,1999-09-24,Heavyweight,KO/TKO,1,30,0
7678,1999-09-24,Heavyweight,Submission,1,128,0
7677,1999-09-24,Light Heavyweight,KO/TKO,4,282,1
7680,1999-09-24,Light Heavyweight,TKO - Doctor's Stoppage,1,233,0
7680,1999-09-24,Light Heavyweight,TKO - Doctor's Stoppage,1,233,0
7681,1999-09-24,Lightweight,KO/TKO,3,13,0
7677,1999-09-24,Middleweight,KO/TKO,4,282,1
7678,1999-09-24,Middleweight,Submission,1,128,0
7681,1999-09-24,Welterweight,KO/TKO,3,13,0
7670,1999-11-19,Heavyweight,Decision - Unanimous,5,300,1
7671,1999-11-19,Heavyweight,KO/TKO,3,77,0
7671,1999-11-19,Heavyweight,KO/TKO,3,77,0
7670,1999-11-19,Light Heavyweight,Decision - Unanimous,5,300,1
7673,1999-11-19,Light Heavyweight,KO/TKO,1,88,0
7673,1999-11-19,Light Heavyweight,KO/TKO,1,88,0
7676,1999-11-19,Light Heavyweight,KO/TKO,2,192,0
7676,1999-11-19,Light Heavyweight,KO/TKO,2,192,0
7672,1999-11-19,Light Heavyweight,Submission,2,255,1
7674,1999-11-19,Middleweight,KO/TKO,3,192,0
7674,1999-11-19,Middleweight,KO/TKO,3,192,0
7675,1999-11-19,Welterweight,Decision - Unanimous,3,300,0
7675,1999-11-19,Welterweight,Decision - Unanimous,3,300,0
7672,1999-11-19,Welterweight,Submission,2,255,1
7667,2000-03-10,Featherweight,KO/TKO,2,161,0
7667,2000-03-10,Featherweight,KO/TKO,2,161,0
7663,2000-03-10,Heavyweight,KO/TKO,1,203,0
7663,2000-03-10,Heavyweight,KO/TKO,1,203,0
7668,2000-03-10,Heavyweight,Submission,1,189,0
7668,2000-03-10,Heavyweight,Submission,1,189,0
7664,2000-03-10,Light Heavyweight,KO/TKO,3,215,0
7665,2000-03-10,Lightweight,Decision - Unanimous,3,300,0
7664,2000-03-10,Middleweight,KO/TKO,3,215,0
7665,2000-03-10,Welterweight,Decision - Unanimous,3,300,0
