name,nationality,wins,was_champion
Tom Aaron,United States,5,0
Danny Abbadi,United States,4,0
Nariman Abbasov,Azerbaijan,28,0
David Abbott,United States,10,0
Hamdy Abdelwahab,United States,6,0
Mansur Abdul-Malik,United States,8,0
Shamil Abdurakhimov,Russia,20,0
Hiroyuki Abe,Japan,8,0
Daichi Abe,Japan,6,0
Papy Abedi,Sweden,10,0
Ricardo Abreu,Brazil,5,0
Klidson Abreu,Brazil,15,0
Cyborg Abreu,Brazil,0,0
Daniel Acacio,Brazil,30,0
John Adajar,Philippines,6,0
Scott Adams,United States,8,0
Juan Adams,United States,5,0
Anthony Adams,United States,8,0
Zarrukh Adashev,United States,4,0
Israel Adesanya,Nigeria,24,1
Sam Adkins,United States,7,0
Mohamed Ado,Canada,5,0
Nick Agallar,United States,24,0
Mariya Agapova,Kazakhstan,10,0
Kantharaj Agasa,India,12,0
Marcelo Aguiar,Brazil,2,0
Fabio Aguiar,Brazil,17,0
Edwin Aguilar,Mexico,26,0
Jessica Aguilar,United States,20,0
Kevin Aguilar,United States,17,0
Jesus Aguilar,Pero,11,0
Christian Aguilera,United States,14,0
Nick Aguirre,United States,7,0
Mike Aina,United States,14,0
Ashiek Ajim,United States,6,0
Hitomi Akano,Japan,18,0
Omari Akhmedov,Russia,21,0
Yoshihiro Akiyama,Japan,14,0
Rostem Akman,Sweden,6,0
Razak Al-Hassan,United States,13,0
Abdul-Kareem Al-Selwady,United States,15,0
Mostapha Al-Turk,England,6,0
Herdem Alacabek,Sweden,5,0
Javi Alanis,United States,0,0
Alatengheili,China,17,0
Amir Albazi,Iraq,17,0
Brett Albee,United States,3,0
John Albert,United States,6,0
Junior Albini,Brazil,14,0
Wes Albritton,United States,0,0
Aleksandra Albu,Russia,3,0
Israel Albuquerque,Brazil,0,0
Juan Alcain,Unlisted,1,0
Iuri Alcantara,Brazil,35,0
Ildemar Alcantara,Brazil,21,0
Alfonso Alcarez,United States,1,0
Gilbert Aldana,United States,6,0
Irene Aldana,Mexico,15,0
Hector Aldana,Mexico,4,0
Jose Alday,Mexico,14,0
Jose Aldo,Brazil,32,1
JJ Aldrich,United States,13,0
Irina Alekseeva,Russia,5,0
Talita Alencar,Brazil,5,0
Jim Alers,United States,13,0
John Alessio,Canada,35,0
Houston Alexander,United States,17,0
Kenneth Alexander,United States,7,0
Lucas Alexander,Brazil,8,0
Marcio Alexandre Junior,Puerto Rico,17,0
Olaf Alfonso,Guatemala,8,0
Pablo Alfonso,United States,9,0
Levi Alford,United States,1,0
Bill Algeo,United States,18,0
Royce Alger,United States,3,0
Amir Aliakbari,Iran,10,0
Sultan Aliev,Russia,15,0
Nurullo Aliev,Tajikistan,10,0
Ikram Aliskerov,Russia,15,0
Leon Aliu,Albania,10,0
John Allan,Brazil,13,0
George Allen,United States,13,0
Arnold Allen,England,20,0
Brendan Allen,United States,24,0
Daniel Allen,England,5,0
Ben Alloway,Australia,18,0
Asu Almabayev,Kazakhstan,21,0
Bekzat Almakhan,Kazakhstan,11,0
John Dave Almanza,Philippines,6,0
Ricardo Almeida,United States,13,0
Magno Almeida,United States,10,0
Thomas Almeida,Brazil,22,0
Ericka Almeida,Brazil,7,0
Estefani Almeida,Brazil,7,0
Jailton Almeida,Brazil,22,0
Lucas Almeida,Brazil,15,0
Cesar Almeida,Brazil,7,0
Mauricio Alonso,Brazil,13,0
Sarah Alpar,United States,9,0
Ali AlQaisi,Jordan,8,0
Rico Altamirano,United States,4,0
Victor Altamirano,United States,12,0
Mike Altman,United States,1,0
Patricia Alujas,Paraguay,9,0
Sean Alvarez,United States,4,0
Eddie Alvarez,United States,29,1
Jaime Alvarez,Puerto Rico,6,0
Joel Alvarez,Spain,22,0
Thiago Alves,Brazil,23,0
Anthony Alves,United States,1,0
Amilcar Alves,Brazil,15,0
Warlley Alves,Brazil,15,1
Rafael Alves,Puerto Rico,20,0
Sam Alvey,United States,33,0
Andre Amado,Brazil,6,0
Adlan Amagov,Russia,14,0
Maiara Amanajas dos Santos,Brazil,7,0
Chris Amarante,United States,2,0
Jimmy Ambriz,United States,17,0
JJ Ambrose,United States,28,0
Alen Amedovski,Macedonia,8,0
Hyder Amil,United States,10,0
Hamid Amiri,Afghanistan,9,0
Makwan Amirkhani,Finland,17,0
Jaqueline Amorim,Brazil,9,0
Bertrand Amoussou,France,1,0
Karl Amoussou,France,27,0
Eryk Anders,United States,17,0
Matt Andersen,United States,14,0
Andy Anderson,United States,0,0
Lowell Anderson,United States,0,0
Corey Anderson,United States,14,1
Derek Anderson,United States,14,0
Megan Anderson,Australia,11,0
Liam Anderson,United States,6,0
Tatsuya Ando,Japan,14,0
Alex Andrade,United States,10,0
Jessica Andrade,Brazil,26,1
Viscardi Andrade,Brazil,19,0
Jermaine Andre,United States,14,0
Juan Andres Luna,Unlisted,12,0
Fellipe Andrew,Brazil,0,0
Dylan Andrews,New Zealand,18,0
Reese Andy,United States,7,0
Angga,Indonesia,13,0
Julius Anglickas,Lithuania,5,0
Collin Anglin,United States,8,0
Chad Anheliger,Canada,13,0
Yoji Anjo,Japan,0,0
Magomed Ankalaev,Russia,20,0
Gadzhimurad Antigulov,Russia,20,0
Adam Antolin,United States,12,0
Angelo Antonio,Brazil,1,0
Vanilto Antunes,Puerto Rico,16,0
Azunna Anyanwu,United States,14,0
Shinsho Anzai,Japan,10,0
Shinya Aoki,Japan,39,0
Aoriqileng,China,25,0
Josh Appelt,United States,15,0
Erik Apple,United States,10,0
Kenji Arai,Japan,15,0
Romie Aram,United States,7,0
Felipe Arantes,Brazil,18,0
Igor Araujo,Brazil,25,0
Viviane Araujo,Brazil,13,0
Julio Arce,United States,19,0
Art Arciniega,United States,15,0
Alice Ardelean,Romania,9,0
Tristan Arenal,United States,7,0
Gabriel Arges,United States,0,0
Dan Argueta,United States,9,0
Reza Arianto,Puerto Rico,5,0
Hashem Arkhagha,Jordan,6,0
Andrei Arlovski,Belarus,34,1
Garrett Armfield,United States,10,0
Joey Armstrong,Unlisted,5,0
Austin Arnett,United States,16,0
Ricardo Arona,Brazil,14,0
Eli Aronov,Israel,6,0
