fighters_id,fighter_name,fight_id,round_number,knockdowns,submission_attempts,reversals,control_time,takedowns_landed,takedowns_attempted,total_strikes,total_attempted,significant_strikes,significant_attempted,head_strikes,head_attempted,body_strikes,body_attempted,leg_strikes,leg_attempted,distance_strikes,distance_attempted,clinch_strikes,clinch_attempted,ground_strikes,ground_attempted,last_round_of_fight,finish_method
3677,Georges St-Pierre,3591,1,0,0,0,0,0,0,8,35,7,34,7,32,0,1,0,1,7,34,0,0,0,0,0,
3677,Georges St-Pierre,3591,2,0,0,0,0,0,0,17,59,12,54,7,44,1,5,4,5,12,54,0,0,0,0,0,
3677,Georges St-Pierre,3591,3,0,0,0,0,0,0,24,34,8,18,6,16,0,0,2,2,6,16,0,0,2,2,1,Submission
3677,Georges St-Pierre,5426,1,0,1,0,33,1,2,26,45,19,38,3,16,11,17,5,5,9,26,10,12,0,0,0,
3677,Georges St-Pierre,5426,2,0,0,0,0,0,0,30,69,28,67,19,46,2,9,7,12,27,65,1,2,0,0,0,
3677,Georges St-Pierre,5426,3,0,0,0,0,0,0,32,65,31,64,16,43,5,11,10,10,30,63,1,1,0,0,0,
3677,Georges St-Pierre,5426,4,0,0,0,25,0,0,24,36,14,26,5,15,3,5,6,6,13,25,1,1,0,0,0,
3677,Georges St-Pierre,5426,5,0,0,0,114,2,4,13,30,9,26,4,16,5,9,0,1,5,21,3,4,1,1,1,Decision - Split
3677,Georges St-Pierre,5684,1,0,0,0,290,3,3,54,68,12,21,9,18,1,1,2,2,2,3,2,2,8,16,0,
3677,Georges St-Pierre,5684,2,0,0,0,196,1,1,41,58,18,29,11,18,4,5,3,6,8,17,1,1,9,11,0,
3677,Georges St-Pierre,5684,3,0,0,0,90,2,5,40,67,28,54,21,44,3,6,4,4,23,46,0,0,5,8,0,
3677,Georges St-Pierre,5684,4,0,0,0,132,2,5,38,46,24,31,17,24,4,4,3,3,20,27,1,1,3,3,0,
3677,Georges St-Pierre,5684,5,0,0,0,116,1,2,37,46,23,32,11,19,10,11,2,2,9,13,7,8,7,11,1,Decision - Unanimous
3677,Georges St-Pierre,5804,1,0,0,0,193,1,1,36,53,16,32,11,24,3,4,2,4,6,14,0,1,10,17,0,
3677,Georges St-Pierre,5804,2,0,0,0,116,1,1,34,51,16,31,13,26,3,4,0,1,9,22,0,0,7,9,0,
3677,Georges St-Pierre,5804,3,0,0,0,195,2,2,36,46,9,19,7,17,1,1,1,1,4,9,0,0,5,10,0,
3677,Georges St-Pierre,5804,4,0,0,0,256,2,2,29,39,9,18,6,14,3,3,0,1,0,5,0,0,9,13,0,
3677,Georges St-Pierre,5804,5,0,0,0,137,1,2,37,48,21,32,15,23,4,4,2,5,7,17,0,0,14,15,1,Decision - Unanimous
3677,Georges St-Pierre,6300,1,0,0,0,4,0,0,19,46,17,44,12,36,2,5,3,3,17,44,0,0,0,0,0,
3677,Georges St-Pierre,6300,2,0,0,0,0,0,0,22,47,22,47,13,33,6,11,3,3,22,47,0,0,0,0,0,
3677,Georges St-Pierre,6300,3,0,0,0,22,1,1,22,52,18,48,7,33,8,12,3,3,17,47,0,0,1,1,0,
3677,Georges St-Pierre,6300,4,0,0,0,17,1,1,14,47,13,46,11,38,2,8,0,0,12,42,0,0,1,4,0,
3677,Georges St-Pierre,6300,5,0,0,0,4,0,1,15,60,15,60,11,50,3,9,1,1,14,59,1,1,0,0,1,Decision - Unanimous
3677,Georges St-Pierre,6389,1,0,0,0,13,1,3,26,55,20,48,14,41,0,0,6,7,20,48,0,0,0,0,0,
3677,Georges St-Pierre,6389,2,0,0,0,0,0,0,29,66,29,66,17,45,1,6,11,15,29,66,0,0,0,0,0,
3677,Georges St-Pierre,6389,3,0,0,0,114,0,2,36,65,19,44,10,29,0,3,9,12,17,41,2,3,0,0,0,
3677,Georges St-Pierre,6389,4,0,0,0,62,1,1,21,55,20,54,11,39,3,5,6,10,17,50,3,4,0,0,0,
3677,Georges St-Pierre,6389,5,0,0,0,96,2,3,24,51,22,47,13,32,1,4,8,11,19,44,3,3,0,0,1,Decision - Unanimous
3677,Georges St-Pierre,6578,1,0,1,0,257,2,2,23,29,2,5,2,5,0,0,0,0,0,2,0,0,2,3,0,
3677,Georges St-Pierre,6578,2,0,0,0,128,2,2,32,40,12,18,6,11,3,4,3,3,6,12,0,0,6,6,0,
3677,Georges St-Pierre,6578,3,0,1,1,280,2,2,42,46,15,19,10,14,5,5,0,0,0,0,0,0,15,19,0,
3677,Georges St-Pierre,6578,4,0,1,0,289,3,3,36,40,9,12,6,9,2,2,1,1,0,0,0,0,9,12,0,
3677,Georges St-Pierre,6578,5,0,3,0,280,2,2,41,46,21,25,11,15,7,7,3,3,4,4,0,0,17,21,1,Decision - Unanimous
3677,Georges St-Pierre,6738,1,0,0,0,113,3,4,28,47,12,30,4,19,1,3,7,8,12,29,0,0,0,1,0,
3677,Georges St-Pierre,6738,2,0,0,0,231,1,1,39,49,12,21,8,14,1,2,3,5,5,10,1,1,6,10,0,
3677,Georges St-Pierre,6738,3,1,0,0,119,1,2,38,65,21,43,15,36,4,4,2,3,14,33,0,0,7,10,0,
3677,Georges St-Pierre,6738,4,0,1,0,143,2,2,11,18,6,13,3,9,3,3,0,1,5,12,0,0,1,1,0,
3677,Georges St-Pierre,6738,5,0,0,0,188,3,3,32,46,8,21,5,18,0,0,3,3,8,21,0,0,0,0,1,Decision - Unanimous
3677,Georges St-Pierre,6833,1,0,0,0,134,0,3,49,60,34,44,12,19,12,14,10,11,16,23,18,21,0,0,0,
3677,Georges St-Pierre,6833,2,0,0,0,268,1,1,84,97,18,28,12,19,6,8,0,1,0,2,3,5,15,21,0,
3677,Georges St-Pierre,6833,3,0,0,0,226,2,2,67,76,19,24,12,17,6,6,1,1,8,10,2,2,9,12,0,
3677,Georges St-Pierre,6833,4,0,0,0,269,1,1,110,125,21,26,15,20,4,4,2,2,6,8,0,0,15,18,1,KO/TKO
3677,Georges St-Pierre,6931,1,1,0,0,274,2,2,69,87,39,55,37,53,2,2,0,0,6,9,1,1,32,45,0,
3677,Georges St-Pierre,6931,2,0,0,0,0,0,1,28,60,27,59,20,50,0,2,7,7,26,58,1,1,0,0,0,
3677,Georges St-Pierre,6931,3,2,1,1,114,1,2,43,62,24,42,18,36,3,3,3,3,17,33,3,3,4,6,0,
3677,Georges St-Pierre,6931,4,0,0,0,63,1,1,21,38,17,34,13,27,2,4,2,3,15,31,0,0,2,3,0,
3677,Georges St-Pierre,6931,5,0,0,0,222,3,3,42,56,24,36,15,27,6,6,3,3,13,20,0,0,11,16,1,Decision - Unanimous
3677,Georges St-Pierre,6993,1,0,0,0,272,2,2,60,66,17,22,12,17,5,5,0,0,3,3,1,1,13,18,0,
3677,Georges St-Pierre,6993,2,0,0,0,220,2,3,69,77,25,32,11,18,14,14,0,0,7,9,1,1,17,22,1,KO/TKO
3677,Georges St-Pierre,7053,1,0,1,0,189,1,1,66,77,23,31,16,22,5,5,2,4,4,10,1,1,18,20,0,
3677,Georges St-Pierre,7053,2,0,2,0,231,2,2,31,40,5,9,2,5,3,4,0,0,0,2,1,2,4,5,1,Submission
3677,Georges St-Pierre,7118,1,0,0,0,172,1,1,19,26,2,6,2,5,0,0,0,1,0,1,0,0,2,5,0,
3677,Georges St-Pierre,7118,2,0,4,0,283,1,1,40,43,9,12,3,6,2,2,4,4,3,3,0,0,6,9,0,
3677,Georges St-Pierre,7118,3,0,1,0,103,0,0,59,76,27,43,12,26,1,1,14,16,21,35,0,0,6,8,1,Decision - Unanimous
3677,Georges St-Pierre,7178,1,0,0,0,5,0,1,6,23,6,23,4,20,0,0,2,3,6,23,0,0,0,0,1,KO/TKO
3677,Georges St-Pierre,7240,1,1,0,0,27,1,1,32,64,28,60,20,44,3,5,5,11,22,53,4,5,2,2,0,
3677,Georges St-Pierre,7240,2,1,0,0,10,0,0,17,32,17,32,12,26,0,0,5,6,11,21,0,0,6,11,1,KO/TKO
3677,Georges St-Pierre,7357,1,0,0,0,50,0,1,31,70,21,60,7,42,2,3,12,15,21,58,0,2,0,0,0,
3677,Georges St-Pierre,7357,2,0,0,0,171,2,2,52,79,19,45,15,34,4,6,0,5,15,35,2,6,2,4,0,
3677,Georges St-Pierre,7357,3,0,0,0,224,2,2,52,63,19,30,16,26,1,1,2,3,10,15,5,10,4,5,1,Decision - Split
3677,Georges St-Pierre,7383,1,0,0,0,129,2,3,43,74,32,62,23,53,7,7,2,2,18,41,7,7,7,14,0,
3677,Georges St-Pierre,7383,2,0,0,0,57,1,1,35,58,26,49,22,45,4,4,0,0,16,31,0,0,10,18,1,KO/TKO
3677,Georges St-Pierre,7413,1,0,2,0,217,1,1,37,44,25,32,25,32,0,0,0,0,4,6,0,0,21,26,1,Submission
3677,Georges St-Pierre,7437,1,0,1,0,149,4,4,44,61,34,51,20,36,7,8,7,7,12,21,6,7,16,23,0,
3677,Georges St-Pierre,7437,2,0,2,0,190,0,0,46,52,18,24,10,16,8,8,0,0,0,2,0,0,18,22,0,
3677,Georges St-Pierre,7437,3,0,1,1,244,1,1,27,35,12,19,11,18,1,1,0,0,1,3,0,0,11,16,1,Decision - Unanimous
3677,Georges St-Pierre,7461,1,0,0,0,17,1,1,12,24,6,17,4,15,2,2,0,0,5,16,1,1,0,0,1,Submission
3677,Georges St-Pierre,7480,1,2,0,0,21,0,1,37,46,24,33,22,31,2,2,0,0,13,16,2,3,9,14,1,KO/TKO
3677,Georges St-Pierre,7495,1,0,0,1,250,1,2,56,65,9,18,7,16,0,0,2,2,2,2,0,0,7,16,0,
3677,Georges St-Pierre,7495,2,0,0,0,290,1,1,51,65,22,34,15,26,7,8,0,0,1,1,0,0,21,33,0,
3677,Georges St-Pierre,7495,3,0,0,1,187,4,5,31,47,15,28,7,19,7,7,1,2,4,12,0,0,11,16,1,Decision - Unanimous
